,Components_cnt,time,token,Degree mean,Degree std,Top10Degree mean,Top10Degree std,Top10 Degree mean ratio
45,64,2020-11-24,AAVE,2.452205882352941,9.477301343725605,81.4,56.160880018429594,33.19460269865068
46,46,2020-11-25,AAVE,2.4735264735264737,9.57316815122091,76.0,59.57441658221347,30.72536348949919
47,43,2020-11-26,AAVE,2.582608695652174,10.678694216057382,85.9,75.13166221152481,33.26094276094276
48,56,2020-11-27,AAVE,2.589981447124304,9.648067712480666,81.3,57.226742000571726,31.390186246418338
49,52,2020-11-28,AAVE,2.402802101576182,9.045251466212013,76.3,56.42901145096672,31.754591836734694
50,59,2020-11-29,AAVE,2.5423037716615697,9.29436379537007,73.0,56.16839759944099,28.71411387329591
51,92,2020-11-30,AAVE,2.522906793048973,10.827276187787938,92.8,79.208304839553,36.782968065122105
52,50,2020-12-01,AAVE,2.5793650793650795,9.30705655306118,75.5,53.18573325829232,29.27076923076923
53,88,2020-12-02,AAVE,2.549490101979604,13.33627919537709,127.0,118.08377440519835,49.81388235294118
54,79,2020-12-03,AAVE,2.5460399227301997,12.51856760526436,114.3,106.7239950110148,44.8932473444613
55,59,2020-12-04,AAVE,2.5547675334909377,10.756387716173311,87.7,81.81693657862722,34.327976557680444
56,72,2020-12-05,AAVE,2.4102296450939455,10.983052681907143,115.4,91.10823843709805,47.879255088783026
57,114,2020-12-06,AAVE,2.179478719894424,14.894019039888212,157.7,207.39176561388456,72.35675143808659
58,88,2020-12-07,AAVE,2.3703703703703702,11.171669837617568,96.3,101.6847524896869,40.6265625
59,80,2020-12-08,AAVE,2.429352068696331,9.447381265884099,77.1,72.99687968978157,31.736857326478145
60,55,2020-12-09,AAVE,2.4921077065923862,10.21894074361285,73.9,77.87946527237531,29.65361400894188
61,53,2020-12-10,AAVE,2.5463709677419355,9.756772955337382,70.4,68.31333040564712,27.647189231987333
62,42,2020-12-11,AAVE,2.5541044776119404,11.266936082349616,81.3,86.06205771289562,31.831117604090576
63,65,2020-12-12,AAVE,2.4178019981834695,9.402118285540825,69.3,70.80340544226824,28.662396694214877
64,66,2020-12-13,AAVE,2.4918743228602382,9.949911926785237,68.9,68.51836736720064,27.649869565217394
65,57,2020-12-14,AAVE,2.4367567567567567,10.592181950585898,68.3,78.81913191323255,28.029059449866903
66,58,2020-12-15,AAVE,2.3879003558718863,9.703754193815634,66.3,80.67913126839072,27.76497764530551
67,122,2020-12-16,AAVE,2.2797619047619047,8.322938154664216,87.9,60.9379465795602,38.55665796344648
68,118,2020-12-17,AAVE,2.1856540084388185,7.481292048303986,74.0,48.062459362791664,33.85714285714286
69,157,2020-12-18,AAVE,2.1448140900195694,7.528529344699676,75.4,54.78888776222987,35.15456204379562
70,166,2020-12-19,AAVE,2.2428734321550743,8.684576486479893,89.2,71.58025798593725,39.77041179461108
71,130,2020-12-20,AAVE,2.2237474262182566,8.656805838227807,78.4,69.91455102083145,35.25580246913581
72,100,2020-12-21,AAVE,2.21193232413179,7.341404574678195,57.4,53.15846331697543,25.95016103059581
73,94,2020-12-22,AAVE,2.255639097744361,7.429252407512054,62.8,52.4739088606053,27.84133333333333
74,111,2020-12-23,AAVE,2.260938743038982,7.153593151552089,62.8,49.4902908547615,27.776073187895847
75,115,2020-12-24,AAVE,2.2184189079054604,7.2072253788291345,64.0,48.01851494765095,28.84937545922116
76,100,2020-12-25,AAVE,2.2133333333333334,6.31537030814604,51.1,39.19311163967464,23.087349397590362
77,113,2020-12-26,AAVE,2.2490622655663914,7.443950288103939,66.7,53.072382439247804,29.656804536357576
78,107,2020-12-27,AAVE,2.1995249406175774,7.139415365078904,64.0,48.49513148531281,29.097192224622027
79,122,2020-12-28,AAVE,2.194401244167963,6.526175949251729,62.4,38.12319212471298,28.436002834868884
80,115,2020-12-29,AAVE,2.1594996090695857,6.867597712516627,64.7,42.742250759640626,29.960644460535843
81,102,2020-12-30,AAVE,2.702788006312467,12.550006819531557,132.3,112.46041278798707,48.94945504087194
82,112,2020-12-31,AAVE,2.314814814814815,7.205112812635172,74.9,37.907636287282386,32.3568
83,129,2021-01-01,AAVE,2.263973063973064,7.436909960238009,78.2,43.59357750861932,34.541046995835806
84,123,2021-01-02,AAVE,2.2688524590163937,7.5310281394468195,82.0,40.95526014242045,36.141618497109825
85,130,2021-01-03,AAVE,2.2766845557543234,8.215243499461959,94.6,44.769036919132695,41.551650078575165
86,163,2021-01-04,AAVE,2.2924865831842576,9.63264197393615,127.8,62.99523791525832,55.74732735076083
87,190,2021-01-05,AAVE,2.2282430213464695,9.405514064489608,128.7,65.73862385741481,57.758511422254976
88,145,2021-01-06,AAVE,2.2514177693761814,9.183762156692145,115.3,64.0365347108803,51.21217464315701
89,178,2021-01-07,AAVE,2.202972834443875,8.255833143984272,102.0,50.68859174738763,46.30107026523965
90,147,2021-01-08,AAVE,2.229119638826185,7.811766936417458,89.8,50.01510882834417,40.28496202531645
91,188,2021-01-09,AAVE,2.15,9.480694227870256,107.6,79.55319673722177,50.04651162790697
92,181,2021-01-10,AAVE,2.348144754924416,9.724561634616197,120.9,73.89700039018273,51.487456106125634
93,109,2021-01-11,AAVE,2.3337874659400546,7.430131003041416,76.7,42.66940095405345,32.865032107413896
94,169,2021-01-12,AAVE,2.314331379861481,8.074167938076666,89.6,58.195456103643615,38.715285451197055
95,230,2021-01-13,AAVE,2.2676767676767677,9.081288050903085,113.7,74.60719357631228,50.139420935412026
96,184,2021-01-14,AAVE,2.2931114193250117,8.408295300553613,103.5,57.517630147440684,45.1351814516129
97,217,2021-01-15,AAVE,2.226240148354196,7.714574153085426,88.9,62.086767242840615,39.93279883381924
98,362,2021-01-16,AAVE,2.2136822022349416,10.268670964048363,146.5,116.29392837881855,66.17932775178527
99,263,2021-01-17,AAVE,2.1653333333333333,9.400559575110814,112.3,98.1360167205587,51.862684729064036
100,187,2021-01-18,AAVE,2.1883942766295705,8.96018809073878,101.4,93.17510397096427,46.33534326189612
101,206,2021-01-19,AAVE,2.211635750421585,8.16638858436656,97.8,70.56092717959737,44.22066336256195
102,176,2021-01-20,AAVE,2.2007797270955165,8.137449132104173,87.6,72.8898712670926,39.80407440212577
103,188,2021-01-21,AAVE,2.3394973921289712,8.005895594084791,94.7,58.63076553027999,40.478779894608834
104,185,2021-01-22,AAVE,2.194861851672322,8.301416375462946,88.0,78.07261577104569,40.09363957597173
105,225,2021-01-23,AAVE,2.220570981619085,8.56101176976528,101.4,86.5052342668093,45.6639309616062
106,377,2021-01-24,AAVE,2.240584341474549,12.322441421277885,184.2,173.4837808621377,82.21069682151588
107,330,2021-01-25,AAVE,2.2164157909684747,8.971784862949857,129.8,90.27833504101513,58.56301896463353
108,320,2021-01-26,AAVE,2.2264623084141384,8.824956811856351,113.9,100.31445005027386,51.15738971621242
109,284,2021-01-27,AAVE,2.197281062282643,8.879488631010508,115.9,97.64157812007024,52.74700719424461
110,328,2021-01-28,AAVE,2.187093275488069,9.080881564684155,136.4,94.0723126110972,62.365881477808095
111,327,2021-01-29,AAVE,2.169544740973312,8.145756317542853,130.8,70.82654869468087,60.289146164978305
112,348,2021-01-30,AAVE,2.145580589254766,9.622215074269256,154.1,104.91525680810732,71.82205169628432
113,306,2021-01-31,AAVE,2.1035527402919305,8.499604012322724,127.4,85.92011793908728,60.564205289342766
114,305,2021-02-01,AAVE,2.0721649484536084,7.607259348533675,105.8,73.64750882111053,51.057711442786065
115,269,2021-02-02,AAVE,2.100966033032097,7.880523179028626,112.7,75.88595244034154,53.64199050726788
116,302,2021-02-03,AAVE,2.1380690345172586,8.90066642844122,144.7,85.97939029532341,67.67788956481047
117,481,2021-02-04,AAVE,2.1725188391855057,10.830657329369183,210.4,144.7029140457556,96.84611070110702
118,380,2021-02-05,AAVE,2.126737678281278,8.98513107199784,165.2,104.45605136451725,77.6776570458404
119,383,2021-02-06,AAVE,2.1441928111365054,9.385946700647107,152.5,120.8003403232881,71.12233527131782
120,287,2021-02-07,AAVE,2.1942110177404297,8.917244983618705,137.2,107.60090871156969,62.52817021276595
121,238,2021-02-08,AAVE,2.2259859666102106,8.554858691874541,134.5,93.19662607150063,60.42266304347826
122,216,2021-02-09,AAVE,2.2095914742451153,7.46659070970029,125.0,76.9963924118815,56.571543408360135
123,213,2021-02-10,AAVE,2.3050091259379437,8.112285855425624,136.3,85.80734234318179,59.13208692591941
