,DCmean,DCstd,time,token
86,0.00358846367165835,0.01918452269762692,2021-01-04,AAVE
87,0.0028675919047054703,0.016621589806563645,2021-01-05,AAVE
88,0.003641331687016968,0.019016676056252478,2021-01-06,AAVE
89,0.004158487822609964,0.019820929019198356,2021-01-07,AAVE
90,0.004181688146775049,0.02046732893882072,2021-01-08,AAVE
91,0.0030394186818767915,0.019349534360173185,2021-01-09,AAVE
92,0.0029215854843331595,0.018349089057872876,2021-01-10,AAVE
93,0.004659455385944445,0.022976421917377816,2021-01-11,AAVE
94,0.0034884706046516725,0.019293215874687717,2021-01-12,AAVE
95,0.002956575300277166,0.018413403356323854,2021-01-13,AAVE
96,0.0032173493571592948,0.018155559654364176,2021-01-14,AAVE
97,0.0036012149656132583,0.019887250187671224,2021-01-15,AAVE
