,DCmean,DCstd,time,token
86,0.0023986674653467335,0.0158006517790043,2021-01-04,AAVE
87,0.002384634208566998,0.015980109068171867,2021-01-05,AAVE
88,0.0025990431894491023,0.016716322293196785,2021-01-06,AAVE
89,0.003109494717656157,0.01828557399773332,2021-01-07,AAVE
90,0.003473762010347383,0.019600407104069822,2021-01-08,AAVE
91,0.002761139268588196,0.018626583526392255,2021-01-09,AAVE
92,0.0026681112449836427,0.01805149351153163,2021-01-10,AAVE
93,0.004076783301495592,0.02173136493167739,2021-01-11,AAVE
94,0.003677248055640378,0.021808632888215017,2021-01-12,AAVE
95,0.003105047327586507,0.02080946656289672,2021-01-13,AAVE
96,0.003304215539502768,0.02036001445877016,2021-01-14,AAVE
97,0.003966540744738327,0.024139955827796936,2021-01-15,AAVE
